問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー(パーティ/歴史/マインクラフト/F1/競馬),難易度(1-5)
2020年に無敗でクラシック三冠を達成した牡馬は？,コントレイル,サリオス,ヴェルトライゼンデ,サトノフラッグ,0,競馬,1
2020年に無敗で牝馬三冠（トリプルティアラ）を達成した馬は？,デアリングタクト,レイパパレ,レシステンシア,マルターズディオサ,0,競馬,1
2020年のジャパンカップを制し、GⅠ9勝目を挙げた馬は？,アーモンドアイ,コントレイル,デアリングタクト,カレンブーケドール,0,競馬,1
2020年と2021年のグランプリ（宝塚記念・有馬記念）で合計3勝を挙げた牝馬は？,クロノジェネシス,ラッキーライラック,サラキア,カレンブーケドール,0,競馬,2
2021年の皐月賞、天皇賞（秋）、有馬記念を制し、年度代表馬に選ばれた馬は？,エフフォーリア,シャフリヤール,タイトルホルダー,ステラヴェローチェ,0,競馬,1
2021年の桜花賞を制した白毛馬は？,ソダシ,サトノレイナス,ファインルージュ,アカイトリノムスメ,0,競馬,1
2021年の日本ダービーを制した馬は？,シャフリヤール,エフフォーリア,ステラヴェローチェ,グレートマジシャン,0,競馬,2
2022年の天皇賞（秋）と有馬記念を制し、年度代表馬となった馬は？,イクイノックス,ドウデュース,タイトルホルダー,ジャスティンパレス,0,競馬,1
2022年の日本ダービーを制した馬は？,ドウデュース,イクイノックス,アスクビクターモア,ダノンベルーガ,0,競馬,2
2023年に牝馬三冠（トリプルティアラ）を達成した馬は？,リバティアイランド,ハーパー,マスクトディーヴァ,ドゥーラ,0,競馬,1
2023年のジャパンカップを制し、GⅠ6連勝で引退した馬は？,イクイノックス,リバティアイランド,スターズオンアース,ドウデュース,0,競馬,1
2024年の日本ダービーを制した馬は？,ダノンデサイル,ジャスティンミラノ,シンエンペラー,シックスペンス,0,競馬,2
2024年の天皇賞（秋）とジャパンカップを連勝した馬は？,ドウデュース,リバティアイランド,タスティエーラ,ベラジオオペラ,0,競馬,2
2024年の安田記念を制した香港馬は？,ロマンチックウォリアー,ヴォイッジバブル,ソウルラッシュ,セリフォス,0,競馬,3
2020年のNHKマイルカップを制した馬は？,ラウダシオン,レシステンシア,ギルデッドミラー,タイセイビジョン,0,競馬,3
2021年の大阪杯を制した馬は？,レイパパレ,モズベッロ,コントレイル,グランアレグリア,0,競馬,3
2022年の高松宮記念を制した馬は？,ナランフレグ,ロータスランド,キルロード,メイケイエール,0,競馬,4
2023年のヴィクトリアマイルを制した馬は？,ソングライン,ソダシ,スターズオンアース,ナミュール,0,競馬,3
2024年の桜花賞を制した馬は？,ステレンボッシュ,アスコリピチェーノ,ライトバック,スウィープフィート,0,競馬,3
2025年のフェブラリーステークスを制した馬は？,コスタノヴァ,ペプチドナイル,レモンポップ,ウィリアムバローズ,0,競馬,4
2025年の天皇賞（春）を制した馬は？,ヘデントール,ドゥレッツァ,テーオーロイヤル,サリエラ,0,競馬,4
2025年の日本ダービーを制した馬は？,クロワデュノール,サトノシャイニング,マスカレードボール,アブキールベイ,0,競馬,4
2020年の安田記念、スプリンターズステークス、マイルチャンピオンシップを制した馬は？,グランアレグリア,アーモンドアイ,インディチャンプ,ダノンスマッシュ,0,競馬,2
2021年の菊花賞を逃げ切り勝ちした馬は？,タイトルホルダー,オーソリティ,ディヴァインフォース,ステラヴェローチェ,0,競馬,2
2022年のオークスを制した馬は？,スターズオンアース,スタニングローズ,ナミュール,エリカヴィータ,0,競馬,3
2023年の日本ダービーを制した馬は？,タスティエーラ,ソールオリエンス,ハーツコンチェルト,ベラジオオペラ,0,競馬,3
2024年のマイルチャンピオンシップを制した馬は？,ソウルラッシュ,エルトンバローズ,ウインマーベル,ブレイディヴェーグ,0,競馬,3
2025年の有馬記念を制した馬は？,ミュージアムマイル,レガレイラ,ドウデュース,スターズオンアース,0,競馬,4
2020年の最優秀4歳以上牝馬に選出されたのは？,アーモンドアイ,クロノジェネシス,グランアレグリア,ラッキーライラック,0,競馬,3
2021年の最優秀3歳牝馬に選出されたのは？,ソダシ,アカイトリノムスメ,ユーバーレーベン,サークルオブライフ,0,競馬,3
2022年の最優秀短距離馬に選出されたのは？,セリフォス,ナランフレグ,ジャンダルム,ソングライン,0,競馬,4
2023年の年度代表馬に選出されたのは？,イクイノックス,リバティアイランド,ウシュバテソーロ,ソングライン,0,競馬,1
2024年のJRA顕彰馬に選出されたのはコントレイルともう一頭は？,キングカメハメハ,ブエナビスタ,モーリス,オジュウチョウサン,0,競馬,4
2025年のJRA顕彰馬に選出された馬は？,イクイノックス,オジュウチョウサン,ブエナビスタ,モーリス,0,競馬,3
2024年のリーディングジョッキー（最多勝利騎手）は？,C.ルメール,川田将雅,戸崎圭太,坂井瑠星,0,競馬,3
2025年のリーディングジョッキー（最多勝利騎手）は？,C.ルメール,戸崎圭太,川田将雅,横山武史,0,競馬,4
2020年のホープフルステークスを制した馬は？,ダノンザキッド,オーソリティ,ヨーホーレイク,タイトルホルダー,0,競馬,4
2021年のヴィクトリアマイルを制した馬は？,グランアレグリア,ランブリングアレー,マジックキャッスル,ディアンドル,0,競馬,3
2022年のNHKマイルカップを制した馬は？,ダノンスコーピオン,マテンロウオリオン,セリフォス,インダストリア,0,競馬,4
2023年のスプリンターズステークスを制した馬は？,ママコチャ,マッドクール,ナムラクレア,ジャスパークローネ,0,競馬,3
2024年の菊花賞を制した馬は？,アーバンシック,ヘデントール,アドマイヤテラ,ショウナンラプンタ,0,競馬,3
2025年の大阪杯を制した馬は？,ベラジオオペラ,ローシャムパーク,プラダリア,タスティエーラ,0,競馬,4
2020年のチューリップ賞を制した馬は？,マルターズディオサ,クラヴァシュドール,レシステンシア,ウーマンズハート,0,競馬,5
2021年の金鯱賞を最低人気（10番人気）で逃げ切った馬は？,ギベオン,デアリングタクト,ポタジェ,グローリーヴェイズ,0,競馬,5
2022年の日経賞を制した馬は？,タイトルホルダー,ボッケリーニ,ヒートオンビート,アサマノイタズラ,0,競馬,4
2023年の京都記念を制した馬は？,ドウデュース,マテンロウレオ,プラダリア,キラーアビリティ,0,競馬,3
2024年の函館記念を制した馬は？,ホウオウビスケッツ,グランディア,アウスヴァール,サヴォーナ,0,競馬,5
2025年のジャパンカップを制した馬は？,カランダガン,オーギュストロダン,ゴリアット,レベルスロマンス,0,競馬,4
日本の競走馬の中で、獲得賞金総額（海外含む）が歴代1位の馬は？（2025年11月時点）,フォーエバーヤング,ウシュバテソーロ,イクイノックス,アーモンドアイ,0,競馬,4
2023年のJRA賞で「最優秀4歳以上牡馬」に選出されたのは？,イクイノックス,ドウデュース,ジャスティンパレス,タイトルホルダー,0,競馬,2
2024年の皐月賞を制した馬は？,ジャスティンミラノ,コスモキュランダ,ジャンタルマンタル,アーバンシック,0,競馬,2
2024年のNHKマイルカップを制した馬は？,ジャンタルマンタル,アスコリピチェーノ,ロジリオン,ゴンバデカーブース,0,競馬,2
2024年のオークス（優駿牝馬）を制した馬は？,チェルヴィニア,ステレンボッシュ,ライトバック,クイーンズウォーク,0,競馬,2
2024年の宝塚記念を制した馬は？,ブローザホーン,ソールオリエンス,ベラジオオペラ,プラダリア,0,競馬,2
2024年の秋華賞を制した馬は？,チェルヴィニア,ボンドガール,ステレンボッシュ,ミアネーロ,0,競馬,2
2025年の高松宮記念を制した馬は？,サトノレーヴ,ルガル,ママコチャ,ナムラクレア,0,競馬,4
2025年の皐月賞を制した馬は？,ミュージアムマイル,ピコチャンブラック,ファウストラーゼン,マスカレードボール,0,競馬,4
2025年のオークス（優駿牝馬）を制した馬は？,カムニャック,エンブロイダリー,クリノメイ,ショウナンザナドゥ,0,競馬,4
2025年の宝塚記念を制した馬は？,メイショウタバル,ベラジオオペラ,ドウデュース,ジャスティンパレス,0,競馬,4
2025年の秋華賞を制した馬は？,エンブロイダリー,カムニャック,サフィラ,アドマイヤマツリ,0,競馬,4
2020年のチャンピオンズカップを制した馬は？,チュウワウィザード,ゴールドドリーム,クリソベリル,インティ,0,競馬,3
2021年のチャンピオンズカップを制した馬は？,テーオーケインズ,チュウワウィザード,アナザートゥルース,ソダシ,0,競馬,3
2022年のチャンピオンズカップを制した馬は？,ジュンライトボルト,クラウンプライド,ハピ,テーオーケインズ,0,競馬,3
2023年のチャンピオンズカップを制した馬は？,レモンポップ,ウィルソンテソーロ,ドゥラエレーデ,テーオーケインズ,0,競馬,3
2024年のチャンピオンズカップを制した馬は？,レモンポップ,ウィルソンテソーロ,ドゥラエレーデ,ハギノアレグリアス,0,競馬,3
2025年のチャンピオンズカップを制した馬は？,ダブルハートボンド,サンライズジパング,アウトレンジ,ミッキーファイト,0,競馬,4
2020年のマイルチャンピオンシップを制した馬は？,グランアレグリア,インディチャンプ,アドマイヤマーズ,サリオス,0,競馬,2
2021年のマイルチャンピオンシップを制した馬は？,グランアレグリア,シュネルマイスター,ダノンザキッド,インディチャンプ,0,競馬,2
2022年のマイルチャンピオンシップを制した馬は？,セリフォス,ダノンザキッド,ソダシ,ソウルラッシュ,0,競馬,3
2023年のマイルチャンピオンシップを制した馬は？,ナミュール,ソウルラッシュ,ジャスティンカフェ,エルトンバローズ,0,競馬,3
2025年のマイルチャンピオンシップを制した馬は？,ジャンタルマンタル,ソウルラッシュ,エルトンバローズ,ニシノスーベニア,0,競馬,4
2020年のスプリンターズステークスを制した馬は？,グランアレグリア,ダノンスマッシュ,アウィルアウェイ,モズスーパーフレア,0,競馬,2
2021年のスプリンターズステークスを制した馬は？,ピクシーナイト,レシステンシア,シヴァージ,メイケイエール,0,競馬,3
2022年のスプリンターズステークスを制した馬は？,ジャンダルム,ウインマーベル,ナランフレグ,ナムラクレア,0,競馬,3
2023年のスプリンターズステークスを制した馬は？,ママコチャ,マッドクール,ナムラクレア,ジャスパークローネ,0,競馬,3
2024年のスプリンターズステークスを制した馬は？,ルガル,トウシンマカオ,ナムラクレア,ママコチャ,0,競馬,3
2025年のスプリンターズステークスを制した馬は？,ウインカーネリアン,トウシンマカオ,サトノレーヴ,ルガル,0,競馬,4
2020年のJRA賞年度代表馬に選出されたのは？,アーモンドアイ,コントレイル,デアリングタクト,グランアレグリア,0,競馬,2
2025年のJRA賞で「最優秀4歳以上牡馬」および「最優秀ダートホース」に選出された馬は？,フォーエバーヤング,ウシュバテソーロ,レモンポップ,イクイノックス,0,競馬,4
2020年にJRA顕彰馬に選出された、GⅠ7勝を挙げた馬は？,キタサンブラック,モーリス,ブエナビスタ,キングカメハメハ,0,競馬,3
2025年にJRA顕彰馬に選出された馬は？,イクイノックス,オジュウチョウサン,アーモンドアイ,コントレイル,0,競馬,3
2025年のJRAリーディングジョッキー（最多勝利騎手）は？,C.ルメール,戸崎圭太,川田将雅,横山武史,0,競馬,4
2022年12月4日にJRA通算1000勝を達成した騎手は？,松山弘平,三浦皇成,田辺裕信,浜中俊,0,競馬,5
2023年6月24日にJRA通算1000勝を達成し、GⅠ未勝利での達成が話題となった騎手は？,三浦皇成,藤岡佑介,北村宏司,吉田隼人,0,競馬,5
2024年の京都記念を制した馬は？,プラダリア,ベラジオオペラ,バビット,マテンロウレオ,0,競馬,4
2025年の京都記念を制した馬は？,ヨーホーレイク,ディープモンスター,シュヴァリエローズ,プラダリア,0,競馬,5
2024年の根岸ステークスを制した馬は？,エンペラーワケア,アームズレイン,サンライズフレイム,ヘリオス,0,競馬,4
2025年の根岸ステークスを制した馬は？,コスタノヴァ,エンペラーワケア,パライバトルマリン,タマモロック,0,競馬,5
2025年の弥生賞を制した馬は？,ファウストラーゼン,ピコチャンブラック,マスカレードボール,シンフォーエバー,0,競馬,5
2024年の中山グランドジャンプを制した馬は？,イロゴトシ,マイネルグロン,ジューンベロシティ,ニシノデイジー,0,競馬,4
2025年の中山グランドジャンプを制した馬は？,エコロデュエル,マイネルグロン,ジューンベロシティ,スマイルスルー,0,競馬,5
2024年のヴィクトリアマイルを制した馬は？,テンハッピーローズ,フィアスプライド,マスクトディーヴァ,ナミュール,0,競馬,3
2025年のヴィクトリアマイルを制した馬は？,アスコリピチェーノ,ステレンボッシュ,ブレイディヴェーグ,チェルヴィニア,0,競馬,4
2024年の安田記念を制したロマンチックウォリアーの調教国は？,香港,オーストラリア,イギリス,フランス,0,競馬,3
2025年の安田記念を制した馬は？,ジャンタルマンタル,アスコリピチェーノ,セリフォス,ソウルラッシュ,0,競馬,4
国内だけで稼いだ獲得賞金額（円）が歴代1位の馬は？（2025年時点）,キタサンブラック,テイエムオペラオー,イクイノックス,アーモンドアイ,0,競馬,5
2021年のホープフルステークスを制した馬は？,キラーアビリティ,ジャスティンパレス,ラーグルフ,コマンドライン,0,競馬,3
2022年のホープフルステークスを制した馬は？,ドゥラエレーデ,トップナイフ,キングズレイン,ファントムシーフ,0,競馬,3
2023年のホープフルステークスを制した牝馬は？,レガレイラ,シンエンペラー,サンライズジパング,ゴンバデカーブース,0,競馬,3
2024年のホープフルステークスを制した馬は？,クロワデュノール,サトノカルナバル,アルテヴェローチェ,マジックサンズ,0,競馬,4
2020年の天皇賞（春）を制した馬は？,フィエールマン,スティッフェリオ,ミッキースワロー,ユーキャンスマイル,0,競馬,3
2021年の天皇賞（春）を制した馬は？,ワールドプレミア,ディープボンド,カレンブーケドール,アリストテレス,0,競馬,3
2022年の天皇賞（春）を制した馬は？,タイトルホルダー,ディープボンド,テーオーロイヤル,ヒートオンビート,0,競馬,2
2023年の天皇賞（春）を制した馬は？,ジャスティンパレス,ディープボンド,シルヴァーソニック,ブレークアップ,0,競馬,3
2024年の天皇賞（春）を制した馬は？,テーオーロイヤル,ブローザホーン,ディープボンド,プリュムドール,0,競馬,3
2020年の高松宮記念を制した馬は？,モズスーパーフレア,グランアレグリア,ダイアトニック,クリノガウディー,0,競馬,3
2021年の高松宮記念を制した馬は？,ダノンスマッシュ,レシステンシア,インディチャンプ,ライトオンキュー,0,競馬,3
2023年の高松宮記念を制した馬は？,ファストフォース,ナムラクレア,トゥラヴェスーラ,ナランフレグ,0,競馬,3
2024年の高松宮記念を制した馬は？,マッドクール,ナムラクレア,ビクターザウィナー,ママコチャ,0,競馬,3
2020年のフェブラリーステークスを制した馬は？,モズアスコット,ケイティブレイブ,サンライズノヴァ,ワンダーリーデル,0,競馬,3
2021年のフェブラリーステークスを制した馬は？,カフェファラオ,エアスピネル,ワンダーリーデル,レッドルゼル,0,競馬,3
2022年のフェブラリーステークスを制した馬は？,カフェファラオ,テイエムサウスダン,ソダシ,ソリストサンダー,0,競馬,3
2023年のフェブラリーステークスを制した馬は？,レモンポップ,レッドルゼル,メイショウハリオ,ドライスタウト,0,競馬,3
2024年のフェブラリーステークスを制した馬は？,ペプチドナイル,ガイアフォース,セキフウ,タガノビューティー,0,競馬,3
2020年の大阪杯を制した馬は？,ラッキーライラック,クロノジェネシス,ダノンキングリー,カデナ,0,競馬,3
2022年の大阪杯を制した馬は？,ポタジェ,レイパパレ,アリーヴォ,ヒシイグアス,0,競馬,3
2023年の大阪杯を制した馬は？,ジャックドール,スターズオンアース,ダノンザキッド,マテンロウレオ,0,競馬,3
2024年の大阪杯を制した馬は？,ベラジオオペラ,ローシャムパーク,ルージュエヴァイユ,ステラヴェローチェ,0,競馬,3
2021年の安田記念を制した馬は？,ダノンキングリー,グランアレグリア,シュネルマイスター,インディチャンプ,0,競馬,3
2022年の安田記念を制した馬は？,ソングライン,シュネルマイスター,サリオス,セリフォス,0,競馬,3
2023年の安田記念を制した馬は？,ソングライン,セリフォス,シュネルマイスター,ガイアフォース,0,競馬,3
2020年の宝塚記念を制した馬は？,クロノジェネシス,キセキ,モズベッロ,サートゥルナーリア,0,競馬,2
2023年の宝塚記念を制した馬は？,イクイノックス,スルーセブンシーズ,ジャスティンパレス,ジェラルディーナ,0,競馬,2
2021年のジャパンカップを制し、有終の美を飾った馬は？,コントレイル,オーソリティ,シャフリヤール,サンレイポケット,0,競馬,2
2022年のジャパンカップを制した馬は？,ヴェラアズール,シャフリヤール,ヴェルトライゼンデ,デアリングタクト,0,競馬,3
2023年の有馬記念を制した馬は？,ドウデュース,スターズオンアース,タイトルホルダー,ジャスティンパレス,0,競馬,2
2024年の有馬記念を制した馬は？,レガレイラ,スターズオンアース,ドウデュース,ベラジオオペラ,0,競馬,3
2024年の朝日杯フューチュリティステークスを制した馬は？,アドマイヤズーム,カヴァレリッツォ,パンジャタワー,アルマヴェローチェ,0,競馬,4
2025年の朝日杯フューチュリティステークスを制した馬は？,カヴァレリッツォ,アドマイヤクワッズ,スターアニス,ダイヤモンドノット,0,競馬,4
2024年の阪神ジュベナイルフィリーズを制した馬は？,アルマヴェローチェ,ダンツエラン,ブラウンラチェット,エコロアルバ,0,競馬,4
2025年の阪神ジュベナイルフィリーズを制した馬は？,スターアニス,フェスティバルヒル,フィロステファニ,エコロアルバ,0,競馬,4
2020年のJRA賞最優秀2歳牝馬に選出されたのは？,ソダシ,サトノレイナス,メイケイエール,ユーバーレーベン,0,競馬,3
2021年のJRA賞最優秀2歳牡馬に選出されたのは？,ドウデュース,セリフォス,キラーアビリティ,イクイノックス,0,競馬,3
2022年のJRA賞最優秀2歳牝馬に選出されたのは？,リバティアイランド,ラヴェル,ドゥーラ,キタウイング,0,競馬,3
2023年のJRA賞最優秀2歳牡馬に選出されたのは？,ジャンタルマンタル,エコロヴァルツ,シンエンペラー,ダノンデサイル,0,競馬,3
2024年の毎日王冠を制した馬は？,シックスペンス,ホウオウビスケッツ,エルトンバローズ,ローシャムパーク,0,競馬,4
2025年の毎日王冠を制した馬は？,レーベンスティール,シックスペンス,ヨーホーレイク,エルトンバローズ,0,競馬,5
2024年の札幌記念を制した馬は？,ノースブリッジ,ジオグリフ,ステラヴェローチェ,プログノーシス,0,競馬,4
2025年の札幌記念を制した馬は？,トップナイフ,ドゥラエレーデ,プログノーシス,シャフリヤール,0,競馬,5
2024年のオールカマーを制した馬は？,レーベンスティール,アウスヴァール,リカンカブール,サヴォーナ,0,競馬,4
2025年のオールカマーを制した馬は？,レガレイラ,レーベンスティール,サヴォーナ,ミクソロジー,0,競馬,5
2024年の神戸新聞杯を制した馬は？,メイショウタバル,ジューンテイク,ショウナンラプンタ,オールセインツ,0,競馬,4
2025年の神戸新聞杯を制した馬は？,エリキング,ジャスティンビスタ,ショウヘイ,カナルビーグル,0,競馬,5
2024年のセントライト記念を制した馬は？,アーバンシック,コスモキュランダ,エコロヴァルツ,ヤマニンアドホック,0,競馬,4
2025年のセントライト記念を制した馬は？,ミュージアムマイル,ピコチャンブラック,アブキールベイ,ファンダム,0,競馬,5
2024年のローズステークスを制した馬は？,クイーンズウォーク,チェルヴィニア,カニキュル,セキトバイースト,0,競馬,4
2025年のローズステークスを制した馬は？,カムニャック,エンブロイダリー,ショウナンザナドゥ,サフィラ,0,競馬,5
2025年のデイリー杯2歳ステークスを制した馬は？,アドマイヤクワッズ,ランフォーヴァウ,ドラゴンブースト,ロブチェン,0,競馬,5
