問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー(パーティ/歴史/マインクラフト/F1),難易度(1-5)
2002年ソルトレークシティオリンピックのテーマ（キャッチフレーズ）は何でしたか？,One World One Dream,Light the Fire Within,Passion lives here,Hot. Cool. Yours.,1,冬季五輪,2
2002年ソルトレークシティ五輪のスピードスケート男子500mで銀メダルを獲得した日本人選手は誰ですか？,清水宏保,武田豊樹,加藤条治,長島圭一郎,0,冬季五輪,2
2002年ソルトレークシティ五輪のショートトラック男子1000m決勝で、先行選手が転倒し、南半球勢として初の金メダルを獲得した選手は誰ですか？,アポロ・アントン・オーノ,スティーブン・ブラッドバリー,キム・ドンソン,寺尾悟,1,冬季五輪,3
2002年ソルトレークシティ五輪のスキー・フリースタイル女子モーグルで銅メダルを獲得した選手は誰ですか？,上村愛子,里谷多英,伊藤みき,村田愛里咲,1,冬季五輪,2
2002年ソルトレークシティ五輪の開会式で、開会宣言を行った人物は誰ですか？,ビル・クリントン,ジョージ・W・ブッシュ,バラク・オバマ,ドナルド・トランプ,1,冬季五輪,3
2002年ソルトレークシティ五輪のフィギュアスケート女子シングルで5位に入賞した日本人選手は誰ですか？,荒川静香,恩田美栄,村主章枝,安藤美姫,2,冬季五輪,4
2006年トリノ五輪のフィギュアスケート女子シングルで金メダルを獲得した選手は誰ですか？,村主章枝,安藤美姫,荒川静香,浅田真央,2,冬季五輪,1
2006年トリノ五輪の開会式で、最後に「誰も寝てはならぬ」を歌った世界的なテノール歌手は誰ですか？,プラシド・ドミンゴ,ホセ・カレーラス,ルチアーノ・パヴァロッティ,アンドレア・ボチェッリ,2,冬季五輪,3
2006年トリノ五輪で、日本選手団が獲得した唯一のメダルは何色でしたか？,金,銀,銅,なし,0,冬季五輪,2
2006年トリノ五輪のスキー・フリースタイル女子モーグルで、上村愛子は何位に入賞しましたか？,3位,4位,5位,6位,2,冬季五輪,4
2006年トリノ五輪のカーリング女子日本代表の最終順位は何位でしたか？,5位,6位,7位,8位,2,冬季五輪,5
2010年バンクーバー五輪の開会式が行われた会場の特徴として正しいものはどれですか？,五輪史上初の屋内開催,五輪史上初の水上開催,五輪史上初の山頂開催,五輪史上初の無観客開催,0,冬季五輪,3
2010年バンクーバー五輪のフィギュアスケート女子シングルで銀メダルを獲得した選手は誰ですか？,キム・ヨナ,浅田真央,ジョアニー・ロシェット,安藤美姫,1,冬季五輪,1
2010年バンクーバー五輪のフィギュアスケート男子シングルで銅メダルを獲得した選手は誰ですか？,織田信成,小塚崇彦,髙橋大輔,羽生結弦,2,冬季五輪,2
2010年バンクーバー五輪のスピードスケート男子500mで銀メダルを獲得した選手は誰ですか？,加藤条治,長島圭一郎,及川佑,太田明生,1,冬季五輪,3
2010年バンクーバー五輪のスピードスケート女子チームパシュートで、日本が獲得したメダルの色は？,金,銀,銅,なし,1,冬季五輪,3
2010年バンクーバー五輪の開会式での聖火点灯時、トラブルにより発生した事象はどれですか？,聖火が消えてしまった,聖火台の柱が1本上がらなかった,聖火ランナーが転倒した,点火装置が作動しなかった,1,冬季五輪,4
2014年ソチ五輪のフィギュアスケート男子シングルで金メダルを獲得した選手は誰ですか？,パトリック・チャン,デニス・テン,羽生結弦,髙橋大輔,2,冬季五輪,1
2014年ソチ五輪のスキージャンプ男子ラージヒル個人で銀メダルを獲得した、当時41歳の選手は誰ですか？,伊東大貴,竹内択,葛西紀明,清水礼留飛,2,冬季五輪,2
2014年ソチ五輪のスノーボード男子ハーフパイプで銀メダルを獲得した選手は誰ですか？,平野歩夢,平岡卓,ショーン・ホワイト,ユーリ・ポドラドチコフ,0,冬季五輪,2
2014年ソチ五輪から新たに採用された種目は次のうちどれですか？,カーリング混合ダブルス,スキージャンプ女子,スノーボードビッグエア,スピードスケートマススタート,1,冬季五輪,3
2014年ソチ五輪のフィギュアスケート女子シングルで、浅田真央は何位に入賞しましたか？,3位,4位,5位,6位,3,冬季五輪,4
2014年ソチ五輪のスキー・ノルディック複合ノーマルヒル個人で銀メダルを獲得した選手は誰ですか？,渡部暁斗,永井秀昭,加藤大平,湊祐介,0,冬季五輪,3
2018年平昌五輪のスピードスケート女子500mで金メダルを獲得した選手は誰ですか？,小平奈緒,李相花,髙木美帆,郷亜里砂,0,冬季五輪,1
2018年平昌五輪のフィギュアスケート男子シングルで66年ぶりの連覇を達成した選手は誰ですか？,宇野昌磨,ハビエル・フェルナンデス,羽生結弦,ネイサン・チェン,2,冬季五輪,1
2018年平昌五輪のスピードスケート女子チームパシュートで、日本が獲得したメダルの色は？,金,銀,銅,なし,0,冬季五輪,2
2018年平昌五輪のカーリング女子で銅メダルを獲得した日本代表チームの愛称は？,フォルティウス,チーム青森,ロコ・ソラーレ,北海道銀行,2,冬季五輪,2
2018年平昌五輪のアルペンスキーとスノーボードの両方で金メダルを獲得するという史上初の快挙を成し遂げた選手は誰ですか？,ミカエラ・シフリン,リンゼイ・ボン,エステル・レデツカ,アンナ・ガッサー,2,冬季五輪,4
2018年平昌五輪のスピードスケート女子マススタートで初代女王に輝いた日本人選手は誰ですか？,佐藤綾乃,髙木美帆,髙木菜那,菊池彩花,2,冬季五輪,3
2018年平昌五輪で日本選手団が獲得したメダル総数は過去最多（当時）の何個でしたか？,10個,11個,12個,13個,3,冬季五輪,4
2018年平昌五輪の開会式で、極寒の中、上半身裸の民族衣装で登場し注目を集めたのはどこの国の旗手ですか？,ジャマイカ,バミューダ,トンガ,ナイジェリア,2,冬季五輪,3
2022年北京五輪の開催都市である北京が、オリンピック史上初めて達成したことは何ですか？,夏冬両季の開催,3大会連続の開催,南半球での開催,2年連続の開催,0,冬季五輪,2
2022年北京五輪のスノーボード男子ハーフパイプで金メダルを獲得した選手は誰ですか？,スコッティ・ジェームズ,ショーン・ホワイト,平野歩夢,戸塚優斗,2,冬季五輪,1
2022年北京五輪のスキージャンプ男子ノーマルヒル個人で金メダルを獲得した選手は誰ですか？,小林陵侑,佐藤幸椰,中村直幹,小林潤志郎,0,冬季五輪,2
2022年北京五輪のスピードスケート女子1000mで金メダルを獲得した選手は誰ですか？,小平奈緒,髙木美帆,佐藤綾乃,郷亜里砂,1,冬季五輪,2
2022年北京五輪のカーリング女子で、日本代表（ロコ・ソラーレ）は何色のメダルを獲得しましたか？,金,銀,銅,なし,1,冬季五輪,2
2022年北京五輪のフィギュアスケート男子シングルで、4位に入賞した選手は誰ですか？,鍵山優真,宇野昌磨,ネイサン・チェン,羽生結弦,3,冬季五輪,3
2022年北京五輪の大会マスコットの名前は何ですか？,スホラン,ビンドゥンドゥン,シュエ・ロンロン,ミライトワ,1,冬季五輪,2
2022年北京五輪のスローガンは「ともに未来へ！」ですが、中国語ではどう表記されますか？,北京歓迎你,同一个世界 同一个梦想,一起向未来,冰墩墩,2,冬季五輪,4
2022年北京五輪で日本選手団が獲得したメダルの総数は何個でしたか？,13個,16個,18個,20個,2,冬季五輪,3
2018年平昌五輪のアイスホッケー女子で、南北合同チームが結成されましたが、そのきっかけとなった北朝鮮の最高指導者の新年の辞があったのはいつですか？,2017年9月,2017年12月,2018年1月,2018年2月,2,冬季五輪,5
2014年ソチ五輪のフィギュアスケート団体で、日本は何位に入賞しましたか？,3位,4位,5位,6位,2,冬季五輪,4
2010年バンクーバー五輪の男子スピードスケート500mで銅メダルを獲得したのは誰ですか？,長島圭一郎,加藤条治,及川佑,太田明生,1,冬季五輪,3
2006年トリノ五輪のフィギュアスケート女子シングルで、4位に入賞した日本人選手は誰ですか？,安藤美姫,荒川静香,村主章枝,浅田真央,2,冬季五輪,3
2002年ソルトレークシティ五輪のスピードスケート男子500mの金メダリスト、ケーシー・フィッツランドルフに持ち上がった疑惑は何ですか？,ドーピング疑惑,フライング疑惑,妨害行為疑惑,年齢詐称疑惑,1,冬季五輪,4
2022年北京五輪のノルディック複合ラージヒル個人で銅メダルを獲得した選手は誰ですか？,渡部暁斗,渡部善斗,永井秀昭,山本涼太,0,冬季五輪,3
2018年平昌五輪のフィギュアスケート女子シングルで4位に入賞した日本人選手は誰ですか？,坂本花織,宮原知子,三原舞依,樋口新葉,1,冬季五輪,4
2014年ソチ五輪のスキー・スノーボード女子パラレル大回転で銀メダルを獲得したのは誰ですか？,竹内智香,家根谷依里,黒田愛美,岩渕麗楽,0,冬季五輪,3
2010年バンクーバー五輪のスキー・フリースタイル女子モーグルで、上村愛子は何位に入賞しましたか？,2位,3位,4位,5位,2,冬季五輪,3
2002年ソルトレークシティ五輪は、当時の冬季五輪開催地としてどのような特徴がありましたか？,最も北にある,最も南にある,最も標高が高い,最も海に近い,2,冬季五輪,4
2002年ソルトレークシティ五輪の開会式で、開会宣言を行った人物が、宣言の前に付け加えたことで物議を醸した言葉は？,世界に平和を,心に火を灯せ,誇り高く優雅なこの国を代表して,神の御加護を,2,冬季五輪,4
2002年ソルトレークシティ五輪のテーマ（キャッチフレーズ）は？,Hot. Cool. Yours.,Light the Fire Within.,Passion lives here.,One World One Dream,1,冬季五輪,3
2002年ソルトレークシティ五輪の開会式で、最終聖火ランナーとして点火を行ったのは？,1980年アイスホッケーアメリカ代表,マイケル・ジョーダン,モハメド・アリ,アポロ・アントン・オーノ,0,冬季五輪,3
2002年ソルトレークシティ五輪で、日本選手団が獲得した金メダルの数は？,0個,1個,2個,5個,0,冬季五輪,3
2002年ソルトレークシティ五輪のスピードスケート男子10000mで4位入賞した選手は？,白幡圭史,清水宏保,平子裕基,野明弘幸,0,冬季五輪,5
2006年トリノ五輪の開会式で、日本の入場順を決める際に使用された言語は？,英語,フランス語,イタリア語,ギリシャ語,2,冬季五輪,3
2006年トリノ五輪の開会式で、日本選手団はどの国の次に入場したか？,アメリカ,イタリア,ドイツ,韓国,2,冬季五輪,4
2006年トリノ五輪の男子アルペンスキー回転で、4位入賞を果たした日本人選手は？,皆川賢太郎,湯浅直樹,佐々木明,木村公宣,0,冬季五輪,4
2006年トリノ五輪の女子チームパシュートで、日本チーム（田畑、石野、大津、根本、妹尾）は何位だったか？,金メダル,銀メダル,銅メダル,4位,3,冬季五輪,4
2006年トリノ五輪のマスコット「ネーヴェ」のモチーフは？,雪,氷,山,星,0,冬季五輪,2
2010年バンクーバー五輪のメダルのデザイン的特徴として正しいものは？,全て同じデザイン,全てデザインが異なる,純金で作られている,ドーナツ型である,1,冬季五輪,3
2010年バンクーバー五輪の開会式で、聖火点灯の際に起きたトラブルは？,聖火が点かなかった,聖火ランナーが転倒した,4本の柱のうち1本が上がらなかった,聖火台が倒れた,2,冬季五輪,3
2010年バンクーバー五輪のスピードスケート男子500mで、銅メダルを獲得した選手は？,長島圭一郎,加藤条治,及川佑,太田明生,1,冬季五輪,3
2010年バンクーバー五輪のフィギュアスケート男子シングルで、髙橋大輔が獲得したメダルの色は？,金,銀,銅,なし,2,冬季五輪,2
2010年バンクーバー五輪のマスコットで、バンクーバーマーモットをモチーフにした「サイドキック（応援団）」キャラクターは？,ミーガ,クワッチ,スーミ,ムクムク,3,冬季五輪,4
2014年ソチ五輪から正式種目として採用されたのは？,フィギュアスケート団体,カーリング混合ダブルス,スノーボードビッグエア,スピードスケートマススタート,0,冬季五輪,3
2014年ソチ五輪のフィギュアスケート男子シングルで、銀メダルを獲得した選手は？,パトリック・チャン,デニス・テン,髙橋大輔,町田樹,0,冬季五輪,3
2014年ソチ五輪のスキージャンプ男子ラージヒル団体で、日本（清水、竹内、伊東、葛西）が獲得したメダルの色は？,金,銀,銅,なし,2,冬季五輪,3
2014年ソチ五輪のマスコットに含まれない動物は？,ユキヒョウ,ホッキョクグマ,ノウサギ,トラ,3,冬季五輪,2
2014年ソチ五輪の開催費用について、当時として史上最高額となった要因の一つは？,インフラ整備,セキュリティ費用,選手の移動費,広告宣伝費,0,冬季五輪,4
2018年平昌五輪の開会式で、日本選手団の旗手入場時の紹介でNBCが発言し、後に謝罪した内容は？,日本の植民地支配を肯定するような発言,日本選手の過去のドーピング疑惑,日本の経済低迷について,日本の選手団が少なすぎること,0,冬季五輪,4
2018年平昌五輪のスピードスケート女子チームパシュートで、日本が金メダルを獲得した際の記録は？,世界新記録,五輪新記録,日本新記録,リンク新記録,1,冬季五輪,3
2018年平昌五輪のフィギュアスケート男子シングルで、銀メダルを獲得し羽生結弦とワンツーフィニッシュを飾った選手は？,宇野昌磨,田中刑事,ハビエル・フェルナンデス,ネイサン・チェン,0,冬季五輪,1
2018年平昌五輪のカーリング女子日本代表（ロコ・ソラーレ）が獲得したメダルの色は？,金,銀,銅,なし,2,冬季五輪,2
2018年平昌五輪で、日本のメダル獲得総数はいくつだったか？,11個,13個,15個,18個,1,冬季五輪,4
2018年平昌五輪の開会式で、北朝鮮と韓国の選手団が入場した際の旗は？,韓国国旗,北朝鮮国旗,オリンピック旗,統一旗,3,冬季五輪,2
2018年平昌五輪のスピードスケート女子500mで、小平奈緒に敗れ銀メダルとなった韓国の選手は？,李相花,金ボルム,朴勝羲,沈錫希,0,冬季五輪,2
2022年北京五輪は、オリンピック史上初めてどのような都市での開催となったか？,夏冬両大会を開催した都市,2大会連続で開催した都市,南半球で開催した都市,無観客で開催した都市,0,冬季五輪,2
2022年北京五輪のスローガンは？,One World One Dream,Passion. Connected.,Together for a Shared Future,Hot. Cool. Yours.,2,冬季五輪,3
2022年北京五輪の開会式の総監督を務めた映画監督は？,チャン・イーモウ（張芸謀）,アン・リー（李安）,チェン・カイコー（陳凱歌）,ウォン・カーウァイ（王家衛）,0,冬季五輪,3
2022年北京五輪のスキージャンプ男子ノーマルヒルで金メダルを獲得した小林陵侑の、ラージヒルでの成績は？,金メダル,銀メダル,銅メダル,4位,1,冬季五輪,3
2022年北京五輪のフィギュアスケート男子シングルで、銀メダルを獲得した日本人選手は？,宇野昌磨,羽生結弦,鍵山優真,友野一希,2,冬季五輪,2
2022年北京五輪のスピードスケート女子1000mで金メダルを獲得した髙木美帆が、この大会で獲得したメダルの総数は？,2個,3個,4個,5個,2,冬季五輪,3
2022年北京五輪のカーリング女子決勝で、日本（ロコ・ソラーレ）が敗れた相手国は？,カナダ,スウェーデン,イギリス,スイス,2,冬季五輪,3
2022年北京五輪に対し、アメリカやイギリスなどが表明した「外交的ボイコット」とはどういう意味か？,選手団を派遣しない,政府代表者を派遣しない,スポンサーを撤退させる,テレビ中継を行わない,1,冬季五輪,2
2002年ソルトレークシティ五輪のショートトラック男子1000mで、不可解な判定により失格となった日本人選手は？,西谷岳文,寺尾悟,植松仁,田村直也,1,冬季五輪,4
2006年トリノ五輪の女子フィギュアスケートで、金メダルを獲得した荒川静香が得意とした技「イナバウアー」は、本来何を指すか？,背中を反る姿勢,足を前後に開いて滑る技,3回転ジャンプの一種,スピンの一種,1,冬季五輪,3
2010年バンクーバー五輪の男子フィギュアスケートで、4回転ジャンプを回避して金メダルを獲得し、論争を呼んだ選手は？,エフゲニー・プルシェンコ,エヴァン・ライサチェク,ステファン・ランビエール,ブライアン・ジュベール,1,冬季五輪,4
2014年ソチ五輪のフィギュアスケート団体戦で、日本は何位だったか？,3位,4位,5位,6位,2,冬季五輪,4
2018年平昌五輪のスキージャンプ女子ノーマルヒルで、銅メダルを獲得した選手は？,髙梨沙羅,伊藤有希,岩渕香里,勢藤優花,0,冬季五輪,2
2018年平昌五輪のアルペンスキーとスノーボードの2競技で金メダルを獲得したエステル・レデツカの国籍は？,オーストリア,スイス,チェコ,スロバキア,2,冬季五輪,4
2022年北京五輪のスノーボード女子ビッグエアで、銅メダルを獲得した村瀬心椛の当時の年齢に関する記録は？,冬季五輪日本女子最年少メダリスト,冬季五輪日本女子最年長メダリスト,スノーボード史上最年少メダリスト,日本人初の10代メダリスト,0,冬季五輪,3
2022年北京五輪のスキージャンプ混合団体で、高梨沙羅を含む複数選手が失格となった理由は？,フライング,重量オーバー,スーツの規定違反,スキー板の長さ違反,2,冬季五輪,2
2014年ソチ五輪の開会式が行われたスタジアムの名前は？,ボリショイ・アイス・ドーム,フィシュト・オリンピック・スタジアム,アイスバーグ・スケーティング・パレス,アドレル・アリーナ,1,冬季五輪,4
2010年バンクーバー五輪の女子モーグルで4位入賞した日本選手は？,里谷多英,村田愛里咲,伊藤みき,上村愛子,3,冬季五輪,3
2006年トリノ五輪のスピードスケート女子500mで4位入賞した選手は？,大菅小百合,岡崎朋美,吉井小百合,新谷志保美,1,冬季五輪,4
2002年ソルトレークシティ五輪のフィギュアスケート男子シングルで4位入賞した選手は？,本田武史,田村岳斗,竹内洋輔,髙橋大輔,0,冬季五輪,4
2022年北京五輪のフィギュアスケート団体で、日本が獲得したメダルの色は？（暫定順位含む）,金,銀,銅,なし,1,冬季五輪,3
2018年平昌五輪のスピードスケート女子マススタートで、初代女王となった日本人選手は？,佐藤綾乃,髙木美帆,髙木菜那,菊池彩花,2,冬季五輪,2
2022年北京五輪のマスコット「ビンドゥンドゥン」のモチーフとなった動物は？,トラ,パンダ,ウサギ,サル,1,冬季五輪,1
2022年北京五輪のマスコット「ビンドゥンドゥン」に関して、大会期間中に起きたハプニングは？,着ぐるみが転倒して起き上がれなくなった,着ぐるみの中から男性の声が聞こえた,着ぐるみの色が変色した,着ぐるみが紛失した,1,冬季五輪,5
2018年平昌五輪のカーリング女子3位決定戦で、日本（ロコ・ソラーレ）が勝利し銅メダルを獲得した相手国は？,スウェーデン,カナダ,イギリス,スイス,2,冬季五輪,3
2014年ソチ五輪のスキージャンプ男子ラージヒル個人で、葛西紀明が獲得したメダルの色は？,金,銀,銅,なし,1,冬季五輪,2
2010年バンクーバー五輪のメダル製造に関する特徴として正しいものは？,全て同じデザインで作られた,リサイクル金属（電子廃棄物）から作られた,純金のみで作られた,中心に穴が開いている,1,冬季五輪,4
2006年トリノ五輪のフィギュアスケート女子シングルで、金メダルを獲得した荒川静香が得点源とした技ではないものは？,イナバウアー,スピン,スパイラル,3回転アクセル,3,冬季五輪,3
2002年ソルトレークシティ五輪のスピードスケート男子500mで銀メダルを獲得した清水宏保の、当時の前回大会（長野）での成績は？,金メダル,銀メダル,銅メダル,4位,0,冬季五輪,2
2022年北京五輪のスピードスケート女子1500mで銀メダルを獲得した選手は？,髙木菜那,佐藤綾乃,髙木美帆,押切美沙紀,2,冬季五輪,2
2018年平昌五輪のフィギュアスケート男子シングルで、66年ぶりの連覇を達成した羽生結弦と、銀メダルを獲得した宇野昌磨の順位の組み合わせ（ワンツーフィニッシュ）は日本フィギュア界史上どうだったか？,史上初,2回目,3回目,4回目,0,冬季五輪,2
2014年ソチ五輪のフィギュアスケート団体で、日本チームの順位は？,3位,4位,5位,6位,2,冬季五輪,4
2010年バンクーバー五輪の開会式で、最終聖火ランナーの1人であるカトリオナ・ルメイ・ドーンが見舞われたトラブルは？,聖火の火が消えた,聖火台の柱が上がらなかった,トーチを落とした,入場を阻止された,1,冬季五輪,5
2006年トリノ五輪のスピードスケート女子500mで、4位入賞を果たした選手は？,大菅小百合,岡崎朋美,吉井小百合,新谷志保美,1,冬季五輪,5
2002年ソルトレークシティ五輪で、日本選手団が獲得したメダルの合計数は？,2個,5個,10個,13個,0,冬季五輪,3
2022年北京五輪のスキージャンプ男子個人ラージヒルで銀メダルを獲得した選手は？,小林陵侑,佐藤幸椰,小林潤志郎,中村直幹,0,冬季五輪,2
2018年平昌五輪のスピードスケート女子500mで金メダルを獲得し、「氷速女帝」と呼ばれた韓国の李相花（イ・サンファ）の3連覇を阻止した選手は？,小平奈緒,髙木美帆,郷亜里砂,神谷衣理那,0,冬季五輪,1
2014年ソチ五輪から採用された、スキーとスノーボードのコースにある障害物を越えながら滑降する競技は？,スロープスタイル,ビッグエア,パラレル回転,チームパシュート,0,冬季五輪,3
2010年バンクーバー五輪の男子フィギュアスケートで銅メダルを獲得し、日本男子初の表彰台に立った選手は？,織田信成,小塚崇彦,髙橋大輔,本田武史,2,冬季五輪,2
2006年トリノ五輪の開会式で、イタリア国歌を独唱した9歳の少女の名前は？,エレオノラ・ヴェネッチー,サラ・ブライトマン,マリア・カラス,セシリア・バルトリ,0,冬季五輪,5
2002年ソルトレークシティ五輪のフィギュアスケート女子シングルで、村主章枝は何位に入賞したか？,3位,4位,5位,6位,2,冬季五輪,4
2022年北京五輪のフィギュアスケート団体で、日本が獲得したメダルの色（暫定含む）は？,金,銀,銅,なし,2,冬季五輪,3
2018年平昌五輪のスキージャンプ女子ノーマルヒルで、銅メダルを獲得した選手は？,伊藤有希,髙梨沙羅,勢藤優花,岩渕香里,1,冬季五輪,2
2014年ソチ五輪の開催にかかった費用について、当時のオリンピック史上どのような記録となったか？,史上最安,史上最高額（約510億ドル以上）,平均的,夏季五輪より安かった,1,冬季五輪,3
2010年バンクーバー五輪のフィギュアスケート女子シングルで、銀メダルを獲得した浅田真央がフリープログラムで跳んだトリプルアクセルの回数は？,1回,2回,3回,4回,1,冬季五輪,3
2006年トリノ五輪男子カーリングで、日本代表チームの結果はどうだったか？,7位入賞,予選敗退,出場していない,金メダル,2,冬季五輪,4
2002年ソルトレークシティ五輪の会場の一つ、パークシティで行われた競技は？,フィギュアスケート,アイスホッケー,スキージャンプ,スピードスケート,2,冬季五輪,5
2022年北京五輪のスノーボード男子ハーフパイプで、平野歩夢が成功させた超高難度の大技は？,トリプルコーク1440,ダブルコーク1440,バックサイドエア,マックツイスト,0,冬季五輪,3
2018年平昌五輪のスノーボード女子ビッグエアで4位に入賞した日本人選手は？,鬼塚雅,藤森由香,岩渕麗楽,広野あさみ,2,冬季五輪,4
2014年ソチ五輪の男子スキージャンプ団体で、日本（清水、竹内、伊東、葛西）が獲得したメダルの色は？,金,銀,銅,なし,2,冬季五輪,3
